Lizard Man,1550,9700,Lizard Man,f,1000
Side To Player,100,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,200,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,300,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,400,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,500,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,600,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,700,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,800,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,900,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1000,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1100,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1200,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1300,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1400,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1500,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1600,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1700,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1800,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,1900,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2000,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2100,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2200,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2300,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2400,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2500,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2600,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2700,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2800,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,2900,10700,images/enemies/unique/birdy.png,f,-10
Side To Player,3000,10700,images/enemies/unique/birdy.png,f,-10
